id,dataset,method,nRF,wRF,KF
5916_90_tips_250,Cherry,PF2_direct,0.0344827586206896,6.335238572883946,1.6387080108748813
2690_80_tips_250,Cherry,PF2_direct,0.0909090909090909,6.3423767238472495,1.2719666510731278
3355_90_tips_250,Cherry,PF2_direct,0.160919540229885,12.276418279605634,2.255354355912291
2441_100_tips_250,Cherry,PF2_direct,0.1958762886597938,31.691360734054395,6.170673241070391
630_100_tips_250,Cherry,PF2_direct,0.1855670103092783,12.032687109176862,2.777275873049057
1077_80_tips_250,Cherry,PF2_direct,0.0779220779220779,10.93390319150762,2.279593163877205
4071_100_tips_250,Cherry,PF2_direct,0.1237113402061855,18.0000963295816,4.081659167794513
5362_80_tips_250,Cherry,PF2_direct,0.0389610389610389,2.14479171012255,0.4113286923176842
2830_100_tips_250,Cherry,PF2_direct,0.1443298969072164,3.271434633255065,0.4677490705841025
2988_80_tips_250,Cherry,PF2_direct,0.1428571428571428,1.8979389095796688,0.3671209025564608
5900_90_tips_250,Cherry,PF2_direct,0.0689655172413793,3.239791349495073,0.7243688941373461
5396_100_tips_250,Cherry,PF2_direct,0.1855670103092783,26.735879009066096,4.860203265477676
457_90_tips_250,Cherry,PF2_direct,0.0919540229885057,7.715593347034681,1.3106704728960883
227_90_tips_250,Cherry,PF2_direct,0.0919540229885057,6.524545606897337,1.3597322500262436
2329_80_tips_250,Cherry,PF2_direct,0.1038961038961039,18.35932430794525,4.463317704041264
872_90_tips_250,Cherry,PF2_direct,0.0229885057471264,8.00300666695432,1.6351380397212396
2925_100_tips_250,Cherry,PF2_direct,0.268041237113402,16.321431994225623,2.840138781517567
