msa_id	split	fitted_model	best_model_base	has_G	has_I	has_F	gamma_alpha	p_invariant	log_likelihood	aic	bic	total_tree_length	mean_branch_length	median_branch_length	max_root_to_leaf_depth	median_root_to_leaf_depth	n_leaves	n_branches	gap_ratio	informative_site_ratio	num_sequences	alignment_length
2450	train	LG+G4	LG	True	False	False	1.2632		-2977.692	5971.384	6000.052	10.0673813322	1.4381973331714286	0.9504756306	5.9725595628	3.7409537375	5	7	0.110526315789	0.139097744361	5	266
2451	train	LG+G4	LG	True	False	False	1.8868		-3802.5848	7629.1695	7671.805	7.8767391903	0.7160671991181818	0.7228240217	1.9560611372	1.6309104839	7	11	0.0819490586932	0.34496124031	7	258
2452	train	LG+G4	LG	True	False	False	2.9953		-5803.7913	11699.5826	11834.2363	20.8275738576	0.46283497461333334	0.3508281422	4.9839770958	3.83235295285	24	45	0.128321256039	0.876811594203	24	138
2453	train	LG+G4	LG	True	False	False	1.3922		-13781.5946	27655.1892	27842.1234	26.9122830889	0.5980507353088889	0.446546782	6.1431201697999995	1.8417850923999999	24	45	0.35765503876	0.662790697674	24	430
2454	train	LG+F+G4	LG	True	False	True	1.842		-31434.9018	63499.8035	64551.128	91.7970971908	0.31117660064677966	0.2110502975	7.374236700900001	3.0180747243	149	295	0.297786525555	0.759615384615	149	208
2455	train	rtREV	rtREV	False	False	False			-4108.8077	8227.6155	8248.3364	3.7164662183	0.7432932436599999	0.6068034623	2.5003358625	1.0651430094499998	4	5	0.125536480687	0.0836909871245	4	466
2456	train	LG+G4	LG	True	False	False	0.7496		-1457.1902	2926.3804	2944.282	9.0279305009	1.80558610018	1.2874436423	4.2339974042	2.2763994634499998	4	5	0.0102739726027	0.041095890411	4	146
2457	train	LG+G4	LG	True	False	False	1.5588		-1096.3806	2208.7611	2229.9163	4.4926979162	0.6418139880285715	0.503189328	1.4081632989	1.0959607135000002	5	7	0.0403846153846	0.192307692308	5	104
2458	train	LG+G4	LG	True	False	False	1.0312		-2821.9617	5659.9234	5688.6811	5.6711580166	0.8101654309428571	0.4548689746	2.9052934486	1.7230017793	5	7	0.0312267657993	0.223048327138	5	269
2459	train	LG+G4	LG	True	False	False	0.8087		-5970.6113	12049.2226	12212.5122	29.3281959846	0.5533621883886792	0.4174060328	3.8590883135	1.723948793	28	53	0.222979323308	0.677631578947	28	152
2460	train	LG+G4	LG	True	False	False	0.8949		-19631.0769	39466.1537	39824.9339	51.5022066499	0.5099228381178218	0.3547709161	4.979450922	3.0857078771	52	101	0.14874884152	0.843373493976	52	249
2461	train	LG+G4	LG	True	False	False	1.6002		-11633.2313	23354.4625	23521.8885	17.0197926056	0.3958091303627907	0.2777768358	4.7374630405	3.1021030056	23	43	0.0979570455736	0.903614457831	23	332
2462	train	LG+G4	LG	True	False	False	0.8138		-917.3287	1850.6574	1870.9182	5.420461317	0.7743516167142858	0.5540083826	3.0458737252	0.6107886375	5	7	0.0559139784946	0.182795698925	5	93
2463	train	LG+G4	LG	True	False	False	0.8339		-3077.8571	6171.7141	6201.5549	6.067051423600001	0.8667216319428572	0.6663244602	3.848076849	0.7087261846	5	7	0.0753246753247	0.116883116883	5	308
2464	train	LG	LG	False	False	False			-2751.6648	5513.3295	5532.0605	3.6984190661	0.73968381322	0.4082863827	1.6255159801999999	1.4593689716	4	5	0.073482428115	0.0958466453674	4	313
2465	train	LG+F+G4	LG	True	False	True	1.1835		-7777.2378	15620.4757	15764.1699	8.3141467397	0.6395497492076923	0.545860204	2.7912108683000003	1.37089509495	8	13	0.0889130434783	0.469565217391	8	575
2466	train	LG+F+G4	LG	True	False	True	1.4681		-30127.3411	60496.6823	60995.5039	82.0099888319	0.8119800874445545	0.640791532	9.113628395200001	7.481728404950001	52	101	0.383223684211	0.686403508772	52	456
2467	train	LG+F+G4	LG	True	False	True	1.9772		-4105.8228	8277.6456	8393.8538	9.7607623716	0.7508278747384616	0.6923288109	2.9501992963	1.7803337308	8	13	0.073	0.568	8	250
2470	train	LG+G4	LG	True	False	False	2.221		-2170.8738	4365.7476	4400.0654	10.0199693545	0.9109063049545455	0.7173187248	4.965721460699999	3.614767977	7	11	0.0332225913621	0.356589147287	7	129
2472	train	LG+F+G4	LG	True	False	True	0.8684		-3113.1118	6296.2235	6417.0099	9.4205521017	0.6280368067800001	0.4881742751	3.4030023201999997	1.4118361712	9	15	0.179303767287	0.523605150215	9	233
2473	train	LG+G4	LG	True	False	False	0.7328		-8263.9029	16663.8058	16868.9808	41.3255993305	0.6167999900074627	0.3605479032	5.0165640251	2.3433256886000002	35	67	0.183538315989	0.827814569536	35	151
2474	train	LG+G4	LG	True	False	False	1.2533		-1541.7493	3103.4985	3131.9404	4.799264206	0.5332515784444445	0.446313618	2.0611808445	1.1627897256000002	6	9	0.0196850393701	0.220472440945	6	127
2477	train	LG+F+G4	LG	True	False	True	1.3952		-4140.2917	8346.5834	8467.2311	14.6134877136	1.1241144395076923	0.9472438186	7.5915303576	2.77336380945	8	13	0.181818181818	0.5	8	286
2478	train	LG+G4	LG	True	False	False	1.1695		-5686.2634	11420.5268	11511.2646	14.3315038166	0.6231088615913043	0.5202682146	5.1415512587	4.605216907999999	13	23	0.349477682811	0.512345679012	13	324
2479	train	cpREV	cpREV	False	False	False			-3665.7169	7341.4337	7362.2818	2.0457573647	0.40915147294	0.343812715	0.8761504621	0.53245320525	4	5	0.0507322175732	0.0794979079498	4	478
248	train	WAG+G4	WAG	True	False	False	1.9816		-27743.0197	56218.0394	57511.26	128.5623566283	0.3522256345980822	0.2386956677	6.944250514199999	3.14540040115	184	365	0.620080769892	0.537549407115	184	253
2480	train	LG+G4	LG	True	False	False	1.0579		-2839.6735	5691.3471	5713.5897	8.1491892332	1.6298378466399999	1.5060241544	4.3706867774	1.6515451118	4	5	0.0639534883721	0.0166112956811	4	301
2484	train	WAG	WAG	False	False	False			-564.2797	1138.5594	1149.9427	1.7385164900999999	0.34770329802	0.2436496225	1.182562404	0.63875663775	4	5	0.0208333333333	0.25	4	72
2485	train	LG+F+G4	LG	True	False	True	0.8129		-10174.6764	20471.3529	20695.2156	28.6304110413	0.6983027083243902	0.4864570595	4.067013831800001	1.91049483045	22	41	0.118652037618	0.789655172414	22	290
2486	train	LG+F+G4	LG	True	False	True	2.086		-6781.1683	13676.3366	13857.0541	35.5835711209	0.9617181384027026	0.6739509487	6.3430621536	3.238111021	20	37	0.0985795454545	0.880681818182	20	176
2488	train	LG+G4	LG	True	False	False	1.2015		-2286.579	4589.158	4616.5223	7.6469232347	1.0924176049571428	0.8209930532	4.0442872988	1.1778434611000002	5	7	0.122123893805	0.0973451327434	5	226
2489	train	LG+G4	LG	True	False	False	1.0928		-1790.6164	3593.2329	3613.4287	3.7468653763	0.7493730752600001	0.4512427643	2.7100862126000003	1.0755964095500001	4	5	0.053738317757	0.0934579439252	4	214
